City,County
STEPHENSPORT,BRECKINRIDGE
STINNETT,LESLIE
STONE,PIKE
STONEY FORK,BELL
STOPOVER,PIKE
STRUNK,MCCREARY
STURGIS,UNION
SULPHUR,HENRY
SUMMER SHADE,METCALFE
SUMMERSVILLE,GREEN
SWEEDEN,EDMONSON
SYMSONIA,GRAVES
TAYLORSVILLE,SPENCER
TEABERRY,FLOYD
THELMA,JOHNSON
THORNTON,LETCHER
THOUSANDSTICKS,LESLIE
TILINE,LIVINGSTON
TOLLESBORO,LEWIS
TOMAHAWK,MARTIN
TOMPKINSVILLE,MONROE
TOPMOST,KNOTT
TOTZ,HARLAN
TRAM,FLOYD
TRENTON,TODD
TROSPER,KNOX
TURNERS STATION,HENRY
TUTOR KEY,JOHNSON
TYNER,JACKSON
ULYSSES,LAWRENCE
UNION,BOONE
UNION STAR,BRECKINRIDGE
UNIONTOWN,UNION
UPTON,HARDIN
UTICA,DAVIESS
VAN LEAR,JOHNSON
VANCEBURG,LEWIS
VANCLEVE,BREATHITT
VARNEY,PIKE
VERONA,BOONE
VERSAILLES,WOODFORD
VEST,KNOTT
VICCO,PERRY
VINCENT,OWSLEY
VINE GROVE,HARDIN
VIPER,PERRY
VIRGIE,PIKE
WACO,MADISON
WADDY,SHELBY
WALKER,KNOX
WALLINGFORD,FLEMING
WALLINS CREEK,HARLAN
WALTON,BOONE
WARBRANCH,LESLIE
WARFIELD,MARTIN
WARSAW,GALLATIN
WATER VALLEY,GRAVES
WAVERLY,UNION
WAYLAND,FLOYD
WAYNESBURG,LINCOLN
WEBBVILLE,LAWRENCE
WEBSTER,BRECKINRIDGE
WEEKSBURY,FLOYD
WELCHS CREEK,BUTLER
WELLINGTON,MENIFEE
WENDOVER,LESLIE
WEST LIBERTY,MORGAN
WEST PADUCAH,MCCRACKEN
WEST POINT,HARDIN
WESTPORT,OLDHAM
WESTVIEW,BRECKINRIDGE
WHEELWRIGHT,FLOYD
WHICK,BREATHITT
WHITE MILLS,HARDIN
WHITE PLAINS,HOPKINS
WHITESBURG,LETCHER
WHITESVILLE,DAVIESS
WHITLEY CITY,MCCREARY
WICKLIFFE,BALLARD
WILLIAMSBURG,WHITLEY
WILLIAMSPORT,JOHNSON
WILLIAMSTOWN,GRANT
WILLISBURG,WASHINGTON
WILMORE,JESSAMINE
WINCHESTER,CLARK
WINDSOR,CASEY
WINGO,GRAVES
WITTENSVILLE,JOHNSON
WOODBINE,KNOX
WOODBURN,WARREN
WOOLLUM,KNOX
WOOTON,LESLIE
WORTHINGTON,GREENUP
WORTHVILLE,CARROLL
YEADDISS,LESLIE
YOSEMITE,CASEY
ZOE,LEE
